item,VAT,hierarchy1,hierarchy2,description,pack_description,qty_in_stock,cases_in_stock,EAN1,EAN2,EAN3,Internal EAN 1,Internal EAN 2,Internal EAN 3,Internal EAN 4,Pack 1,Sell 1,Pack 2,Sell 2,Pack 3,Sell 3,promID ,promStart,promEnd,promSell Pack 1,promSell for Sell 1,promSell Pack 2,promSell for Sell 2,promSell Pack 3,promSell for Sell 3,Max. Order,RRP,POR %,PMP/Plain,Type
100651,A,16,16002,PALMOLIVE SHAMPOO ALOE PM£1.25,6x350ML,1,1,,,,,,,,,4.59,,,,,,,,,,,,,,,1.25,26.56,PMP,SINGLE
100671,A,16,16002,PALMOLIVE SHAMPOO 2IN1 PM£1.25,6x350ML,7,7,,,,,,,,,4.59,,,,,,,,,,,,,,,1.25,26.56,PMP,SINGLE
100831,A,16,16007,TRESEMME CLEANSE REPLENISH SHAMPOO PM£2.50,6x300ML,1,1,,,,,,,,,8.79,,,,,,,,,,,,,,,2.5,29.68,PMP,SINGLE
100834,A,16,16002,TRESEMME MOISTURE RICH SHAMPOO PM£2.50,6x300ML,5,5,,,,,,,,,8.79,,,,,,,,,,,,,,,2.5,29.68,PMP,SINGLE
100836,A,16,16007,TRESEMME CONDITIONER CLEANSE REPLENISH PM£2.50,6x300ML,5,5,,,,,,,,,8.79,,,,,,,,,,,,,,,2.5,29.68,PMP,SINGLE
114140,A,16,16008,VASELINE PET JELLY No1,12x50GMS,2,2,,,,,,,,,12.99,,,,,,,,,,,,,,,1.49,12.82,PLAIN,SINGLE
502270,A,16,16007,SANEX SHAMPOO 2 IN 1 PM£2.00,6x250ML,5,5,,,,,,,,,7.49,,,,,,,,,,,,,,,2,25.1,PMP,SINGLE
81723,A,14,14005,DR BECKMANN DISHWASHER XCLEANER +WIPE,6x75G,5,5,,,,,,,,,10.99,,,,,,,,,,,,,,,2.49,11.73,PLAIN,SINGLE
81724,A,14,14001,DR BECKMANN IN WASH ODOUR REMOVER,6x500ML,3,3,,,,,,,,,9.79,,,,,,,,,,,,,,,2.49,21.37,PLAIN,SINGLE
81876,A,14,14005,DR BECKMANN TRAVEL WASH,12x100ML,4,4,,,,,,,,,11.89,,,,,,,,,,,,,,,1.29,7.83,PLAIN,SINGLE
